證交所新聞
"標題","連結","日期"
"「臺灣創新板」7月20日正式開板 打造新創企業籌資新聚落","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017abe1208020056","110年07月19日"
"第七屆公司治理評鑑 Top 5%得獎影片歡迎線上觀看!","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017abcf36d5a004f","110年07月19日"
"上週外資在集中市場買超478.04億元，買超開發金6.88萬張最多，另賣超南亞科2.93萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017abceb9435004b","110年07月19日"
"臺灣證券交易所審議通過富邦投信「NYSE FactSet全球基因免疫生技指數(NYSE? FactSet? Global Genomics and Immuno Biopharma Index)」ETF標的指數資格認可","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017aae9453770042","110年07月16日"
"本週發行量加權股價指數漲幅約為1.32%，上市股票總市值達54.82兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017aae8e1ab2003e","110年07月16日"
"「凌陽創新科技股份有限公司」（股票代號：5236）競價拍賣方式辦理承銷，於今(7/15)日順利完成","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017aa8e490ce0030","110年07月15日"
"正基科技(股)公司於110年7月15日送件申請股票上市","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017aa88016a30029","110年07月15日"
"『創造資本，新板最穩』-創新企業籌資首選臺灣創新板","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017aa45d195d0020","110年07月14日"
"臺灣證券交易所針對凱羿國際集團股份有限公司（凱羿-KY，公司代號: 2939）違反重大訊息規定，處以新臺幣5萬元之違約金。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017aa44b1037001b","110年07月14日"
"權證為短期投資工具，注意價格偏離並適時執行停損停利","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017aa30c360f0015","110年07月14日"
"臺灣證券交易所接獲仁新醫藥股份有限公司(代號：6696)函知撤回其股票上市申請案","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017a9df8a419000e","110年07月13日"
"全體上市公司110年6月份當月營收較109年同期成長14.76％，累計營業收入較109年同期成長21.62％","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017a9df20294000a","110年07月13日"
